thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_4.keys,key_resp_3.rt,key_resp_3.duration,key_resp_4.rt,key_resp_4.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,lsl_stream.started,lsl_stream.stopped,setup.started,setup.stopped,welcome.started,welcomeimg.started,key_resp.started,welcome.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instruction.started,instructionimg.started,key_resp_2.started,instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,fixation.started,cross.started,cross.stopped,fixation.stopped,trigger,face.started,faceStim.started,key_resp_3.started,faceStim.stopped,key_resp_3.stopped,face.stopped,trials.key_resp_3.keys,break_2.started,break_2.stopped,trials.key_resp_4.keys,trials.key_resp_3.rt,trials.key_resp_3.duration,breakimg.started,breakimg.stopped,break2img.started,key_resp_4.started,trials.key_resp_4.rt,trials.key_resp_4.duration,end.started,finish.started,finish.stopped,end.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
16,0,16,down,None,0.36907100000826176,None,,,16,0,16,0,37.589077800003,,,,,,,,,,,,,,,,,,,,37.58266180001374,37.589077800003,38.193215999999666,38.186254500004,2,38.188536200003,38.193215999999666,38.193215999999666,38.68672830000287,38.68672830000287,38.681012300003204,down,38.68107140000211,38.68110230000457,None,0.36907100000826176,None,,,,,,,,,,,004,001,2026-01-21_16h49.36.689,NESC3137_EEG_experiment,,2025.1.1,130.58478478756987,2026-01-21 16h49.55.785297 -0400,
17,0,17,down,None,0.307947499997681,0.11192169999412727,,,17,0,17,0,38.68672830000287,,,,,,,,,,,,,,,,,,,,38.681262900005095,38.68672830000287,39.32622450000781,39.31884120000177,2,39.32129160000477,39.32622450000781,39.32622450000781,39.8194177000114,39.8194177000114,39.81245560001116,down,39.812498100000084,39.81251909999992,None,0.307947499997681,0.11192169999412727,,,,,,,,,,,004,001,2026-01-21_16h49.36.689,NESC3137_EEG_experiment,,2025.1.1,130.58478478756987,2026-01-21 16h49.55.785297 -0400,
18,0,18,up,None,0.4354648000007728,None,,,18,0,18,0,39.8194177000114,,,,,,,,,,,,,,,,,,,,39.812651600004756,39.8194177000114,40.34264630000689,40.33434890001081,1,40.33659770000668,40.34264630000689,40.34264630000689,40.83226120000472,40.83226120000472,40.82574780000141,up,40.82580700000108,40.82584050000878,None,0.4354648000007728,None,,,,,,,,,,,004,001,2026-01-21_16h49.36.689,NESC3137_EEG_experiment,,2025.1.1,130.58478478756987,2026-01-21 16h49.55.785297 -0400,
19,0,19,up,None,0.3441573000018252,0.12817060000088532,,,19,0,19,0,40.83226120000472,,,,,,,,,,,,,,,,,,,,40.82608150001033,40.83226120000472,41.418161000008695,41.41039490001276,1,41.41293570000562,41.418161000008695,41.418161000008695,41.90935140001238,41.90935140001238,41.903266900000744,up,41.90332340000896,41.90335340000456,None,0.3441573000018252,0.12817060000088532,,,,,,,,,,,004,001,2026-01-21_16h49.36.689,NESC3137_EEG_experiment,,2025.1.1,130.58478478756987,2026-01-21 16h49.55.785297 -0400,
20,0,20,down,None,0.4245848999998998,None,,,20,0,20,0,41.90935140001238,,,,,,,,,,,,,,,,,,,,41.90353980001237,41.90935140001238,42.769853300007526,42.763764900009846,2,42.76574950000213,42.769853300007526,42.769853300007526,43.26470290000725,43.26470290000725,43.25793390000763,down,43.2579953000095,43.25802510000358,None,0.4245848999998998,None,,,,,,,,,,,004,001,2026-01-21_16h49.36.689,NESC3137_EEG_experiment,,2025.1.1,130.58478478756987,2026-01-21 16h49.55.785297 -0400,
21,0,21,up,None,0.31277590000536293,0.11984129999473225,,,21,0,21,0,43.26470290000725,,,,,,,,,,,,,,,,,,,,43.25821070000529,43.26470290000725,44.14550830000371,44.13889880001079,1,44.14137500000652,44.14550830000371,44.14550830000371,44.63855030000559,44.63855030000559,44.631844800009276,up,44.63189240000793,44.63191130000632,None,0.31277590000536293,0.11984129999473225,,,,,,,,,,,004,001,2026-01-21_16h49.36.689,NESC3137_EEG_experiment,,2025.1.1,130.58478478756987,2026-01-21 16h49.55.785297 -0400,
22,0,22,up,None,0.3836655999912182,None,,,22,0,22,0,44.63855030000559,,,,,,,,,,,,,,,,,,,,44.63205620000372,44.63855030000559,45.24262720000115,45.23607830000401,1,45.238430600002175,45.24262720000115,45.24262720000115,45.73611970001366,45.73611970001366,45.729189000005135,up,45.72923000001174,45.72924800000328,None,0.3836655999912182,None,,,,,,,,,,,004,001,2026-01-21_16h49.36.689,NESC3137_EEG_experiment,,2025.1.1,130.58478478756987,2026-01-21 16h49.55.785297 -0400,
23,0,23,up,None,0.41750409999804106,None,,,23,0,23,0,45.73611970001366,,,,,,,,,,,,,,,,,,,,45.72937300000922,45.73611970001366,46.59279280000192,46.58511120000912,1,46.587957600000664,46.59279280000192,46.59279280000192,47.08421720001206,47.08421720001206,47.07703750001383,up,47.077098000008846,47.077126200005296,None,0.41750409999804106,None,,,,,,,,,,,004,001,2026-01-21_16h49.36.689,NESC3137_EEG_experiment,,2025.1.1,130.58478478756987,2026-01-21 16h49.55.785297 -0400,
24,0,24,up,None,0.39300950001052115,0.07994270000199322,,,24,0,24,0,47.08421720001206,,,,,,,,,,,,,,,,,,,,47.07731390000845,47.08421720001206,47.889432000010856,47.88235440000426,1,47.88462799999979,47.889432000010856,47.889432000010856,48.383244900003774,48.383244900003774,48.375588900002185,up,48.37563870000304,48.37565800000448,None,0.39300950001052115,0.07994270000199322,,,,,,,,,,,004,001,2026-01-21_16h49.36.689,NESC3137_EEG_experiment,,2025.1.1,130.58478478756987,2026-01-21 16h49.55.785297 -0400,
25,0,25,down,None,0.41008730001340155,None,,,25,0,25,0,48.383244900003774,,,,,,,,,,,,,,,,,,,,48.375805900010164,48.383244900003774,49.27219290001085,49.26565830000618,2,49.268468800000846,49.27219290001085,49.27219290001085,49.7656924000039,49.7656924000039,49.7582870000042,down,49.75835490001191,49.75838480000675,None,0.41008730001340155,None,,,,,,,,,,,004,001,2026-01-21_16h49.36.689,NESC3137_EEG_experiment,,2025.1.1,130.58478478756987,2026-01-21 16h49.55.785297 -0400,
26,0,26,None,None,,,,,26,0,26,0,49.7656924000039,,,,,,,,,,,,,,,,,,,,49.75860160001321,49.7656924000039,50.344232100003865,50.33559050000622,2,50.33841910000774,50.344232100003865,50.344232100003865,50.834093700002995,50.834093700002995,50.82838730000367,None,50.82844140000816,50.8284735000052,None,,,,,,,,,,,,,004,001,2026-01-21_16h49.36.689,NESC3137_EEG_experiment,,2025.1.1,130.58478478756987,2026-01-21 16h49.55.785297 -0400,
27,0,27,down,None,0.33955499999865424,0.0797523000073852,,,27,0,27,0,50.834093700002995,,,,,,,,,,,,,,,,,,,,50.828677600002266,50.834093700002995,51.59087470000668,51.585132800013525,2,51.58739620000415,51.59087470000668,51.59087470000668,52.084110700001474,52.084110700001474,52.07730810000794,down,52.07735110000067,52.07736880000448,None,0.33955499999865424,0.0797523000073852,,,,,,,,,,,004,001,2026-01-21_16h49.36.689,NESC3137_EEG_experiment,,2025.1.1,130.58478478756987,2026-01-21 16h49.55.785297 -0400,
28,0,28,down,None,0.38543850000132807,None,,,28,0,28,0,52.084110700001474,,,,,,,,,,,,,,,,,,,,52.077497500009486,52.084110700001474,52.584742900013225,52.57825960000628,2,52.58089219999965,52.584742900013225,52.584742900013225,53.077150700002676,53.077150700002676,53.070688500010874,down,53.07074160000775,53.070764200005215,None,0.38543850000132807,None,,,,,,,,,,,004,001,2026-01-21_16h49.36.689,NESC3137_EEG_experiment,,2025.1.1,130.58478478756987,2026-01-21 16h49.55.785297 -0400,
